,Time,CPU_Percentage,Scripts,Number_scripts,Bloque,RAM_Percentage
318,1623430492,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
319,1623430493,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
320,1623430494,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
321,1623430495,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
322,1623430496,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
323,1623430497,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
324,1623430498,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
325,1623430499,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
326,1623430500,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
327,1623430501,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
328,1623430502,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
329,1623430503,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
330,1623430504,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
331,1623430505,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
332,1623430506,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
333,1623430507,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
334,1623430508,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
335,1623430509,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
336,1623430510,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
